utterance,ctc_viterbi_encoding_ms,ctc_viterbi_phone_region_and_scoring_ms,ctc_viterbi_stress_ms,ctc_viterbi_downstream_total_ms,ctc_viterbi_scored_phones,ctc_viterbi_scored_polysyllabic_words,mfa_encoding_ms,mfa_phone_region_and_scoring_ms,mfa_stress_ms,mfa_downstream_total_ms,mfa_scored_phones,mfa_scored_polysyllabic_words
000490088,44.38220802694559,1.673708000453189,0.00029199873097240925,46.05641702073626,8,0,44.27354197832756,0.10033301077783108,0.0005830079317092896,44.374791003065184,8,0
000490092,55.64662499818951,2.8651249886024743,0.0004580069798976183,58.512582996627316,9,0,55.88729202281684,0.14258298324421048,0.0006250047590583563,56.03108400828205,9,0
000490097,56.46816600346938,3.6572079989127815,42.67966700717807,102.80566700384952,17,1,55.824500013841316,0.21199998445808887,44.68904100940563,100.72616700199433,17,1
000490101,47.21854202216491,2.4764159752521664,0.0006250047590583563,49.69604199868627,11,0,47.48370798188262,0.15220901696011424,0.0006659829523414373,47.63708298560232,11,0
000490102,61.977417004527524,4.25183298648335,0.0005830079317092896,66.23024999862537,14,0,61.904666014015675,0.1887079852167517,0.00037500285543501377,62.09395799669437,14,0
000490117,72.139124997193,4.741666984045878,42.289666016586125,119.17108300258406,14,1,72.42158299777657,0.19550000433810055,44.468834006693214,117.08633400849067,14,1
000490134,62.215124984504655,3.5732499964069575,0.00045899651013314724,65.78941701445729,14,0,62.62754197814502,0.2013749908655882,0.000667001586407423,62.83000000985339,14,0
000490144,70.91029098955914,5.0134579942096025,0.0004169996827840805,75.9247500100173,15,0,70.69420799962245,0.2065410080831498,0.0007500057108700275,70.90175000485033,15,0
000490151,62.77550000231713,4.046125017339364,60.054583998862654,126.87666699639522,16,1,62.24279198795557,0.21520801237784326,50.751375005347654,113.21008301456459,16,1
000490157,44.269666977925226,1.20674999197945,0.0007080088835209608,45.4778750136029,7,0,44.473874993855134,0.1087500131689012,0.0006250047590583563,44.58370801876299,7,0
000490162,60.083874996053055,2.999457996338606,0.0005830079317092896,63.0844589904882,12,0,60.89341698680073,0.15662499936297536,0.0006250047590583563,61.05091699282639,12,0
000490164,55.61425001360476,1.8644999945536256,0.0005830079317092896,57.479500013869256,7,0,55.545124982018024,0.10270799975842237,0.0007909839041531086,55.64883298939094,7,0
000490175,69.73670900333673,4.307916999096051,0.0006250047590583563,74.04558299458586,15,0,69.49487500241958,0.20000000949949026,0.0005409820005297661,69.69583401223645,15,0
000920002,46.16395800258033,2.0215830008964986,61.417541990522295,109.60362499463372,11,1,46.1987919989042,0.13137501082383096,42.65691601904109,88.98754202527925,11,1
000920009,48.128708003787324,1.7645830230321735,0.000500003807246685,49.89404199295677,8,0,47.83808297361247,0.10470798588357866,0.000500003807246685,47.943459008820355,8,0
