utterance,speaker,wall_ms,stage_preparation_ms,stage_ctc_encoding_ms,stage_ctc_viterbi_ms,stage_phone_scoring_ms,stage_total_ms
011560100,1156,92.52170799300075,0.243,80.693,9.581,0.957,91.498
011560117,1156,68.24637498357333,0.225,60.684,5.026,0.729,66.693
011560184,1156,71.92245899932459,0.224,64.331,5.613,0.779,70.968
011560192,1156,66.03962500230409,0.187,59.176,4.958,0.803,65.15
011560202,1156,60.48341700807214,0.198,55.799,3.43,0.58,60.03
011560257,1156,60.242957988521084,0.192,54.537,3.836,0.678,59.265
011560269,1156,64.05341697973199,0.214,57.965,4.132,0.738,63.073
011560275,1156,53.50733298109844,0.197,48.926,2.895,0.484,52.525
011560289,1156,51.87954200664535,0.152,48.296,2.569,0.482,51.519
011560320,1156,54.92012499598786,0.175,50.07,3.445,0.757,54.47
011560353,1156,54.60825000773184,0.209,50.018,3.012,0.513,53.774
011560354,1156,78.48954098881222,0.213,68.911,6.067,0.679,75.892
011560372,1156,43.78691699821502,0.155,40.904,1.493,0.326,42.902
011810063,1181,58.727083989651874,0.156,54.608,2.941,0.503,58.232
011810067,1181,82.04783400287852,0.191,73.537,4.841,0.764,79.356
011810133,1181,51.278041006298736,0.136,47.707,2.011,0.49,50.368
011810162,1181,67.1191250148695,0.231,62.126,3.775,0.535,66.691
011810168,1181,49.09212500206195,0.157,45.584,1.992,0.46,48.215
011810173,1181,64.2962499987334,0.191,58.462,4.4,0.754,63.834
011810184,1181,64.339958014898,0.22,58.078,4.484,0.654,63.457
011810197,1181,85.92408400727436,0.243,75.434,8.221,0.995,84.919
011810206,1181,45.97670800285414,0.165,42.392,1.989,0.423,44.989
011810213,1181,49.823875015135854,0.157,46.75,2.071,0.412,49.41
011810214,1181,56.28966601216234,0.174,51.213,3.814,0.618,55.84
011810222,1181,52.15762500301935,0.2,47.729,2.787,0.509,51.244
011810246,1181,46.541540999896824,0.14,43.129,2.395,0.475,46.161
011810247,1181,52.278125018347055,0.172,48.478,2.543,0.55,51.763
011810279,1181,52.8700000140816,0.19,47.142,2.699,0.551,50.602
011810280,1181,51.177708024624735,0.147,47.517,2.587,0.525,50.797
011810284,1181,79.55100000253879,0.29,68.967,6.857,0.849,76.988
011810314,1181,55.40054201264866,0.177,50.399,3.365,0.522,54.49
011810334,1181,62.295707990415394,0.184,55.63,3.938,0.682,60.454
011810377,1181,66.15225001587532,0.206,59.238,4.908,0.854,65.229
011860256,1186,85.65974998055026,0.245,78.5,5.347,0.553,84.668
011860263,1186,86.74812500248663,0.244,77.758,6.702,0.75,85.477
011860264,1186,118.50825001602061,0.295,108.514,8.145,0.565,117.54
011860284,1186,65.07566600339487,0.197,60.612,2.896,0.423,64.152
011860285,1186,58.33341702236794,0.17,54.519,2.731,0.482,57.922
011860287,1186,82.21724999020807,0.25,74.842,5.512,0.658,81.29
011860292,1186,80.43362500029616,0.219,73.463,5.113,0.628,79.445
011860298,1186,60.2135420194827,0.209,55.945,2.638,0.419,59.232
011860301,1186,74.60824999725446,0.218,67.848,4.908,0.61,73.608
011860308,1186,91.73179199569859,0.241,80.561,9.036,0.877,90.736
011860317,1186,71.17995899170637,0.202,66.009,3.898,0.538,70.666
011860332,1186,58.64274999476038,0.157,55.017,2.56,0.416,58.172
011860335,1186,89.0925420098938,0.231,81.101,6.157,0.606,88.117
011860346,1186,58.47779201576486,0.204,54.484,2.418,0.423,57.551
011860359,1186,54.029582999646664,0.198,50.091,2.315,0.42,53.044
011860361,1186,62.15558300027624,0.164,57.531,3.467,0.586,61.774
011860363,1186,92.70862501580268,0.259,82.463,8.092,0.826,91.669
011860372,1186,59.43162500625476,0.186,54.988,2.794,0.445,58.433
011860373,1186,65.78712500049733,0.209,60.204,3.924,0.532,64.888
011860377,1186,92.81445798114873,0.271,82.173,8.488,0.862,91.819
012280016,1228,63.59508298919536,0.194,57.722,4.129,0.598,62.665
012280033,1228,83.70541600743309,0.243,75.025,6.559,0.815,82.664
012280053,1228,87.22183300415054,0.256,77.094,8.305,0.832,86.51
012280054,1228,92.30633298284374,0.251,80.577,9.522,0.934,91.305
012280161,1228,62.721499998588115,0.207,56.617,3.822,0.632,61.299
012280173,1228,62.89924998418428,0.184,58.451,3.281,0.549,62.496
012280198,1228,71.68454199563712,0.215,64.384,4.917,0.648,70.19
012280201,1228,74.40187499742024,0.237,66.55,5.769,0.807,73.389
012280206,1228,61.84341700281948,0.255,56.035,3.693,0.592,60.594
012280243,1228,65.98895901697688,0.213,59.264,4.88,0.722,65.098
012280261,1228,67.07470800029114,0.209,60.746,4.469,0.62,66.067
012280262,1228,59.52812498435378,0.204,54.52,3.239,0.575,58.56
012280276,1228,44.94970801169984,0.144,42.184,1.799,0.427,44.576
012280288,1228,52.56662500323728,0.162,48.927,2.549,0.526,52.183
012280308,1228,84.60066700354218,0.218,75.131,7.925,0.848,84.144
012280343,1228,45.9113749966491,0.192,42.187,2.138,0.44,44.98
012280345,1228,45.196874998509884,0.137,42.651,1.634,0.384,44.826
012280355,1228,49.27158399368636,0.141,46.522,1.835,0.389,48.907
012280366,1228,70.63620901317336,0.202,64.686,4.62,0.644,70.174
012280375,1228,43.85000001639128,0.159,41.028,1.376,0.372,42.956
012920007,1292,64.57966699963436,0.167,59.259,4.109,0.64,64.195
012920027,1292,72.28125000256114,0.233,64.443,5.941,0.747,71.385
012920054,1292,45.79712499980815,0.184,42.421,1.817,0.429,44.874
012920062,1292,62.739582994254306,0.191,57.334,4.152,0.618,62.319
012920073,1292,61.90249999053776,0.199,55.902,4.154,0.653,60.928
012920085,1292,55.01962499693036,0.201,49.81,3.385,0.697,54.12
012920110,1292,76.84141598292626,0.228,67.813,5.754,0.745,74.56
012920121,1292,51.944458013167605,0.198,48.198,2.173,0.396,50.985
012920143,1292,64.70470799831674,0.193,58.762,4.576,0.714,64.267
012920146,1292,60.667125013424084,0.185,55.02,3.671,0.575,59.472
012920155,1292,76.07645800453611,0.218,68.664,5.489,0.675,75.072
012920158,1292,53.37750000762753,0.194,48.829,2.892,0.481,52.417
012920214,1292,60.280959005467594,0.186,54.793,4.194,0.674,59.87
012920254,1292,53.874957986408845,0.194,48.581,3.445,0.695,52.936
012920259,1292,50.80020902096294,0.143,46.899,2.8,0.556,50.416
012920268,1292,72.79816700611264,0.196,65.563,5.797,0.784,72.366
012920270,1292,43.231749994447455,0.182,40.067,1.627,0.434,42.332
012920299,1292,78.78591699409299,0.174,72.578,4.921,0.702,78.397
012920301,1292,58.654709020629525,0.147,54.279,2.843,0.522,57.813
012920368,1292,62.34687499818392,0.154,57.412,3.246,0.657,61.492
012930008,1293,61.77391699748114,0.148,56.422,3.665,0.694,60.956
012930012,1293,46.80558299878612,0.139,43.054,2.219,0.502,45.937
012930028,1293,73.08479098719545,0.188,64.803,6.397,0.959,72.368
012930036,1293,51.91924999235198,0.251,48.331,2.006,0.401,51.011
012930037,1293,82.49237498966977,0.187,74.716,6.222,0.914,82.069
012930040,1293,64.2105000151787,0.201,58.231,4.159,0.62,63.234
012930051,1293,63.86299998848699,0.181,58.169,3.983,0.579,62.932
012930067,1293,51.65408400353044,0.184,47.049,2.885,0.613,50.758
012930079,1293,50.76008298783563,0.15,47.103,2.555,0.534,50.362
012930097,1293,64.91700001060963,0.194,55.455,5.595,0.862,62.129
012930114,1293,65.3018329758197,0.282,58.715,4.588,0.736,64.343
012930127,1293,63.1635419849772,0.217,57.568,3.861,0.59,62.258
012930139,1293,51.87470800592564,0.143,46.948,2.979,0.624,50.713
012930155,1293,45.44612500467338,0.154,42.332,2.067,0.465,45.038
012930195,1293,50.566333025926724,0.145,46.326,3.054,0.608,50.154
012930225,1293,54.27529200096615,0.151,49.718,3.415,0.598,53.902
012930240,1293,52.924082992831245,0.155,48.346,3.383,0.653,52.556
012930261,1293,48.12933300854638,0.178,42.814,2.583,0.552,46.148
012930266,1293,46.77054099738598,0.161,43.251,2.424,0.502,46.357
012930315,1293,41.305166989332065,0.123,39.306,1.193,0.31,40.951
013340007,1334,61.034583020955324,0.158,55.022,4.684,0.793,60.677
013340034,1334,46.80425001424737,0.172,42.658,2.501,0.545,45.896
013340046,1334,50.50733298412524,0.169,46.803,2.582,0.51,50.085
013340091,1334,50.675666017923504,0.145,46.308,3.017,0.661,50.15
013340137,1334,52.29045799933374,0.144,47.909,3.166,0.634,51.873
013340147,1334,46.11370898783207,0.137,42.888,2.151,0.443,45.637
013340159,1334,51.41345798620023,0.177,47.366,2.593,0.523,50.677
013340204,1334,45.435374981025234,0.134,42.213,2.23,0.478,45.078
013340217,1334,56.81816698051989,0.194,51.536,4.047,0.671,56.468
013340243,1334,61.33670898270793,0.214,55.525,4.044,0.72,60.525
013340245,1334,55.69287500111386,0.208,50.216,3.622,0.675,54.746
013340255,1334,48.80849999608472,0.195,43.244,3.115,0.638,47.215
013340259,1334,54.6458330063615,0.159,49.531,3.861,0.735,54.308
013340277,1334,45.421000017086044,0.172,40.385,1.948,0.474,43.001
013340291,1334,47.177666012430564,0.145,43.619,2.477,0.516,46.776
013340297,1334,52.01108299661428,0.257,47.55,3.029,0.634,51.491
013340313,1334,47.57062499993481,0.178,42.485,2.277,0.522,45.484
013340345,1334,53.17800000193529,0.2,48.178,3.289,0.566,52.257
013340375,1334,57.430957996984944,0.207,50.711,4.11,0.694,55.742
013340378,1334,46.30529199494049,0.171,42.431,2.355,0.48,45.459
014040005,1404,116.34216600214131,0.261,108.78,5.576,0.436,115.073
014040013,1404,107.74595898692496,0.283,99.918,6.013,0.482,106.734
014040027,1404,87.55045797443017,0.23,81.754,4.121,0.422,86.55
014040028,1404,69.78429199079983,0.202,65.814,2.501,0.362,68.903
014040052,1404,73.62537499284372,0.195,67.692,4.27,0.48,72.66
014040072,1404,72.31591700110584,0.213,67.303,3.807,0.498,71.843
014040081,1404,95.66358299343847,0.265,89.622,4.397,0.375,94.679
014040088,1404,72.18337501399219,0.249,66.89,3.604,0.407,71.174
014040089,1404,64.20354099827819,0.234,60.101,2.631,0.326,63.313
014040090,1404,83.85883399751037,0.237,78.0,4.17,0.38,82.811
014040096,1404,82.18037500046194,0.208,75.084,5.075,0.522,80.912
014040097,1404,84.58925000741147,0.24,76.54,6.188,0.597,83.589
014040109,1404,100.73737500351854,0.324,92.524,6.316,0.493,99.679
014040111,1404,91.20249998522922,0.26,81.612,7.634,0.716,90.246
014040122,1404,71.41595799475908,0.228,65.161,4.46,0.548,70.417
014040124,1404,93.18591601913795,0.332,86.951,4.435,0.429,92.169
014040145,1404,121.63245800184086,0.29,107.919,11.522,0.805,120.559
014040148,1404,72.64425000175834,0.228,66.038,4.851,0.549,71.689
014040152,1404,94.88829199108295,0.277,87.337,5.668,0.584,93.886
014040155,1404,89.45391699671745,0.258,82.328,4.387,0.54,87.537
014080008,1408,59.83512502280064,0.186,54.435,3.576,0.658,58.878
014080073,1408,51.31237499881536,0.197,47.336,2.352,0.449,50.354
014080091,1408,70.92233299044892,0.176,64.751,4.702,0.696,70.347
014080103,1408,54.79525000555441,0.183,50.011,2.848,0.51,53.572
014080117,1408,57.84166700323112,0.224,51.195,3.337,0.567,55.344
014080134,1408,49.26962498575449,0.194,46.079,1.689,0.393,48.376
014080149,1408,57.03399999765679,0.149,54.165,1.826,0.433,56.602
014080178,1408,53.58854198129848,0.154,50.378,1.76,0.428,52.741
014080201,1408,54.2314579943195,0.18,50.803,2.218,0.546,53.773
014080243,1408,71.818374999566,0.182,66.241,3.392,0.629,70.471
014080270,1408,67.98983400221914,0.184,62.561,3.678,0.652,67.102
014080279,1408,74.87716700416058,0.284,69.014,3.967,0.662,73.952
014080301,1408,51.793457998428494,0.195,48.137,2.027,0.437,50.818
014080333,1408,71.37995801167563,0.179,65.228,4.671,0.69,70.795
014080336,1408,74.44895899971016,0.196,68.414,4.169,0.62,73.423
014080337,1408,69.85704199178144,0.169,64.548,3.651,0.605,68.996
014080339,1408,56.65824998868629,0.149,53.3,1.859,0.474,55.808
014080358,1408,108.5805420007091,0.236,97.627,8.87,0.899,107.656
014080361,1408,83.33383299759589,0.227,73.971,7.262,0.87,82.353
014080362,1408,75.30954200774431,0.229,68.115,5.365,0.626,74.355
014200011,1420,53.94654200063087,0.207,49.335,3.014,0.535,53.11
014200060,1420,60.462583001935855,0.191,55.42,3.766,0.643,60.038
014200076,1420,55.18758299876936,0.25,50.38,3.559,0.605,54.816
014200086,1420,51.461499999277294,0.18,47.295,2.6,0.471,50.564
014200087,1420,83.92841601744294,0.255,73.468,8.401,1.112,83.264
014200124,1420,47.14804101968184,0.199,43.117,2.417,0.525,46.279
014200161,1420,55.54554201080464,0.167,50.659,3.61,0.678,55.136
014200177,1420,51.22754100011662,0.185,46.446,2.848,0.577,50.077
014200206,1420,54.93724998086691,0.153,50.261,3.572,0.584,54.59
014200207,1420,50.44854199513793,0.199,46.323,2.419,0.517,49.476
014200229,1420,55.89625000720844,0.206,50.455,4.04,0.703,55.425
014200238,1420,46.20779198012315,0.184,42.908,1.802,0.36,45.273
014200246,1420,44.98383298050612,0.155,41.51,1.844,0.447,43.979
014200272,1420,61.4836250024382,0.168,56.31,3.934,0.629,61.06
014200295,1420,61.659667000640184,0.213,56.265,3.745,0.522,60.764
014200296,1420,44.072332995710894,0.172,40.647,1.948,0.465,43.252
014200339,1420,55.44554101652466,0.158,50.181,3.918,0.712,54.988
